section_code,section_name,principle_number,sub_section,question_number,question_text,question_type,placeholder_text,options
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Leadership Indicators,1,Does the entity extend life insurance or compensatory package in the event of death of employees/workers?,radio,Select 'Yes' if the entity provides life insurance or a compensatory package to families in the event of death of an employee/worker during employment. Else 'No'.,"Yes|No"
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Leadership Indicators,2,Measures undertaken to ensure statutory dues have been deducted and deposited by value chain partners,textarea,"Describe measures taken to ensure that value chain partners deduct and deposit statutory dues such as PF, ESI, etc. for their employees/workers.",
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Leadership Indicators,3,Number of employees/workers with high consequence work-related injury/ill-health/fatalities who were rehabilitated,table,Provide the number of employees/workers who suffered high-consequence work-related injuries/ill-health/fatalities and were successfully rehabilitated.,
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Leadership Indicators,4,Does the entity provide transition assistance programs for continued employability/career endings?,radio,"Select 'Yes' if the entity provides transition assistance programs (e.g., retraining, outplacement) to support employees/workers at career endings. Else 'No'.","Yes|No"
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Leadership Indicators,5,"Details on assessment of value chain partners (health and safety, working conditions)",table,Provide details of assessments conducted on value chain partners regarding health and safety and working conditions. Include coverage and findings.,
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Leadership Indicators,6,Corrective actions taken on significant risks from assessments of value chain partners,textarea,"Describe corrective actions taken in response to significant risks identified during assessments of value chain partners regarding health, safety, and working conditions.",
section_c,Principle 4: Businesses should respect the interests of and be responsive to all its stakeholders,4,Essential Indicators,1,Processes for identifying key stakeholder groups of the entity,textarea,"Describe the processes used to identify key stakeholder groups of the entity, including the methodology and frequency of identification.",
section_c,Principle 4: Businesses should respect the interests of and be responsive to all its stakeholders,4,Essential Indicators,2,List stakeholder groups identified as key and frequency of engagement with each group,table,"List the key stakeholder groups identified (e.g., employees, customers, suppliers, community, regulators) and specify the frequency of engagement with each.",
section_c,Principle 4: Businesses should respect the interests of and be responsive to all its stakeholders,4,Leadership Indicators,1,"Processes for consultation between stakeholders and the Board on economic, environmental and social topics",textarea,"Describe the processes and mechanisms for consultation between stakeholders and the Board of Directors on economic, environmental, and social topics.",
section_c,Principle 4: Businesses should respect the interests of and be responsive to all its stakeholders,4,Leadership Indicators,2,Whether stakeholder consultation is used to support identification/management of environmental/social topics,textarea,"Explain how stakeholder consultations are used to support the identification and management of environmental and social topics, risks, and opportunities.",
section_c,Principle 4: Businesses should respect the interests of and be responsive to all its stakeholders,4,Leadership Indicators,3,"Details of engagement with, and actions to address concerns of, vulnerable/marginalized stakeholder groups",textarea,Provide details of engagement activities with vulnerable/marginalized stakeholder groups and the actions taken to address their concerns.,
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,1,Employees and workers provided training on human rights issues and policy(ies) of the entity,table,Provide the percentage and details of employees and workers who received training on human rights issues and the entity's human rights policies during the year.,
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,2,Details of minimum wages paid to employees and workers,table,"Provide details of minimum wages paid to employees and workers, including comparison with statutory minimum wage rates and any deviations.",
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,3a,"Details of remuneration/salary/wages (Board of Directors, KMP, employees, workers)",table,"Provide details of remuneration/salary/wages paid to Board of Directors, KMPs, employees, and workers, including breakdown by gender and category.",
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,3b,Gross wages paid to females as % of total wages paid by the entity,table,Calculate and provide the percentage of gross wages paid to female employees/workers as a percentage of total wages paid by the entity.,
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,4,Focal point (individual/committee) responsible for addressing human rights impacts or issues,textarea,"Identify the focal point (individual/committee) responsible for addressing human rights impacts or issues, including contact details and responsibilities.",
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,5,Internal mechanisms in place to redress grievances related to human rights issues,textarea,"Describe the internal grievance redressal mechanisms available for reporting and addressing human rights-related grievances (discrimination, harassment, etc.).",
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,6,"Number of complaints made by employees and workers (sexual harassment, discrimination, child labor, forced labor, wages, other)",table,"Provide the number of complaints made by employees and workers on issues such as sexual harassment, discrimination, child labor, forced labor, wages, and other human rights issues.",
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,7,"Complaints filed under the Sexual Harassment of Women at Workplace (POSH) Act, 2013",table,"Provide details of complaints filed under the POSH Act, including number of complaints received, resolved, and pending. Include status of POSH committee formation.",
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,8,Mechanisms to prevent adverse consequences to the complainant in discrimination and harassment cases,textarea,Describe the mechanisms in place to protect complainants from victimization or adverse consequences in discrimination and harassment cases.,
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,9,Do human rights requirements form part of business agreements and contracts?,radio,Select 'Yes' if human rights clauses/requirements are included in business agreements and contracts with partners. Otherwise select 'No'.,"Yes|No"
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,10,Corrective actions taken on significant risks/concerns arising from assessments,textarea,Describe the corrective actions taken in response to significant human rights risks/concerns identified during assessments.,
section_c,Principle 5: Businesses should respect and promote human rights,5,Leadership Indicators,1,Details of business process modified/introduced because of addressing human rights grievances/complaints,textarea,Describe any business processes that were modified or introduced as a result of addressing human rights grievances/complaints.,
section_c,Principle 5: Businesses should respect and promote human rights,5,Leadership Indicators,2,Details of the scope and coverage of Human rights due diligence conducted,textarea,"Provide details of the human rights due diligence conducted during the year, including scope, coverage, methodologies, and key findings.",
section_c,Principle 5: Businesses should respect and promote human rights,5,Leadership Indicators,3,Is the premise/office of the entity accessible to differently abled visitors?,radio,"Select 'Yes' if the premises/offices are accessible to differently abled visitors (ramps, accessible washrooms, signage, etc.). Else 'No'.","Yes|No"
section_c,Principle 5: Businesses should respect and promote human rights,5,Leadership Indicators,4,"Assessment of value chain partners (sexual harassment, discrimination, child labor, forced labor, wages)",table,"Provide details of human rights assessments conducted on value chain partners covering sexual harassment, discrimination, child labor, forced labor, and wages.",
section_c,Principle 5: Businesses should respect and promote human rights,5,Leadership Indicators,5,Corrective actions taken on significant risks/concerns from value chain partner assessments,textarea,Describe corrective actions taken in response to significant human rights risks/concerns identified during value chain partner assessments.,
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,1,Details of total energy consumption and energy intensity,table,Provide details of total energy consumption (in GJ or equivalent) from all sources (non-renewable and renewable) and energy intensity (per unit of production/turnover).,
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,2,Sites/facilities identified as designated consumers (DCs) under the PAT Scheme; targets achieved,textarea,"List sites/facilities identified as Designated Consumers (DCs) under the Perform, Achieve and Trade (PAT) scheme and report performance against targets.",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,3,"Details related to water withdrawal, consumption and intensity",table,"Provide details of total water withdrawal, consumption, and water intensity (per unit of production/turnover), categorized by source.",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,4,Details related to water discharged by destination and level of treatment,table,"Provide details of water discharged by destination (surface water, groundwater, municipal supply, others) and by treatment level (primary, secondary, tertiary).",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,5,Has the entity implemented a mechanism for Zero Liquid Discharge?,textarea,State whether the entity has implemented Zero Liquid Discharge (ZLD) mechanisms. Describe the status of ZLD implementation across locations.,
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,6,Details of air emissions (other than GHG emissions),table,"Provide details of air emissions other than GHGs, including particulate matter (PM2.5, PM10), NOx, SOx, and other pollutants. Include quantities and monitoring data.",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,7,Details of greenhouse gas emissions (Scope 1 and Scope 2) and intensity,table,"Provide details of Scope 1 (direct) and Scope 2 (indirect energy) greenhouse gas emissions in metric tons of CO2 equivalent, and GHG intensity.",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,8,Does the entity have any project related to reducing Greenhouse Gas emissions?,textarea,"Describe any projects/initiatives undertaken by the entity to reduce greenhouse gas emissions, including renewable energy projects, energy efficiency, etc.",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,9,"Details related to waste management by the entity (generated, recovered, disposed)",table,"Provide details of waste generated (hazardous and non-hazardous), waste recovered/recycled, and waste disposed, with quantities and methods.",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,10,Waste management practices adopted; strategy to reduce hazardous/toxic chemicals usage,textarea,Describe the waste management practices adopted and the entity's strategy to reduce the use of hazardous/toxic chemicals in its operations.,
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,11,Operations/offices in/around ecologically sensitive areas requiring environmental approvals,table,"Provide details of operations/offices located in or around ecologically sensitive areas (e.g., forests, wetlands, coastal zones) and the environmental approvals obtained.",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,12,Details of environmental impact assessments of projects undertaken based on applicable laws,table,"Provide details of Environmental Impact Assessments (EIA) conducted for projects under applicable environmental laws, including findings and mitigation measures.",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,13,Is the entity compliant with applicable environmental law/regulations/guidelines in India?,table,"For each applicable environmental law/regulation/guideline, indicate whether the entity is compliant (Yes/No/Partially). Provide reasons for non-compliance if any.",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Leadership Indicators,1,"Water withdrawal, consumption and discharge in areas of water stress",table,"Provide details of water withdrawal, consumption, and discharge in areas identified as water-stressed, with source-specific data.",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Leadership Indicators,2,Details of total Scope 3 emissions and intensity,table,"Provide details of Scope 3 (indirect value chain) GHG emissions in metric tons of CO2 equivalent, and Scope 3 intensity, categorized by source.",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Leadership Indicators,3,Significant direct & indirect impact on biodiversity in ecologically sensitive areas,textarea,"Describe significant direct and indirect impacts of the entity's operations on biodiversity in ecologically sensitive areas, including mitigation measures.",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Leadership Indicators,4,Specific initiatives/innovative technology to improve resource efficiency or reduce emissions/effluent/waste impact,table,"List specific initiatives and innovative technologies adopted to improve resource efficiency (energy, water, materials) or reduce emissions, effluent, and waste impact.",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Leadership Indicators,5,Does the entity have a business continuity and disaster management plan?,textarea,"State whether the entity has a business continuity and disaster management plan. Describe the plan's scope, coverage, and key elements.",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Leadership Indicators,6,Significant adverse impact to the environment arising from the value chain and mitigation measures,textarea,Describe significant adverse environmental impacts arising from the value chain (upstream and downstream) and the measures taken to mitigate them.,
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Leadership Indicators,7,Percentage of value chain partners assessed for environmental impacts,number,"Enter the percentage of value chain partners (suppliers, vendors, etc.) that have been assessed for environmental impacts during the financial year.",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Leadership Indicators,8,How many Green Credits have been generated or procured (by entity and top ten value chain partners),textarea,"Provide details of Green Credits generated by the entity and the top ten value chain partners, if applicable. Include credit types, quantity, and verification status.",
section_c,"Principle 7: Businesses, when engaging in influencing public and regulatory policy, should do so in a manner that is responsible and transparent",7,Essential Indicators,1a,Number of affiliations with trade and industry chambers/associations,number,Enter the total number of trade and industry chambers/associations the entity is affiliated with or is a member of.,
section_c,"Principle 7: Businesses, when engaging in influencing public and regulatory policy, should do so in a manner that is responsible and transparent",7,Essential Indicators,1b,List the top 10 trade and industry chambers/associations the entity is a member of/affiliated to,table,"List the top 10 trade and industry chambers/associations (e.g., CII, FICCI, ASSOCHAM) that the entity is a member of or affiliated with.",
section_c,"Principle 7: Businesses, when engaging in influencing public and regulatory policy, should do so in a manner that is responsible and transparent",7,Essential Indicators,2,Corrective action taken on issues related to anti-competitive conduct based on adverse regulatory orders,table,Provide details of corrective actions taken in response to adverse regulatory orders on anti-competitive conduct or monopolistic practices.,
section_c,"Principle 7: Businesses, when engaging in influencing public and regulatory policy, should do so in a manner that is responsible and transparent",7,Leadership Indicators,1,Details of public policy positions advocated by the entity,table,"Provide details of public policy positions, submissions, or advocacy activities undertaken by the entity on policy matters (e.g., taxation, trade, environment).",
section_c,Principle 8: Businesses should promote inclusive growth and equitable development,8,Essential Indicators,1,Details of Social Impact Assessments (SIA) of projects undertaken based on applicable laws,table,"Provide details of Social Impact Assessments (SIA) conducted for projects under applicable laws, including findings and mitigation measures.",
section_c,Principle 8: Businesses should promote inclusive growth and equitable development,8,Essential Indicators,2,Information on project(s) for which ongoing Rehabilitation and Resettlement (R&R) is being undertaken,table,"Provide details of projects where Rehabilitation and Resettlement (R&R) is being undertaken, including number of affected families, status, and compensation.",
section_c,Principle 8: Businesses should promote inclusive growth and equitable development,8,Essential Indicators,3,Mechanisms to receive and redress grievances of the community,textarea,Describe the mechanisms and processes available for local communities to report grievances and for the entity to address them.,
section_c,Principle 8: Businesses should promote inclusive growth and equitable development,8,Essential Indicators,4,"Percentage of input material sourced from suppliers (MSMEs/small producers, within district/neighboring districts)",table,Provide the percentage of input material sourced from MSMEs/small producers and from suppliers located within the district or neighboring districts.,
section_c,Principle 8: Businesses should promote inclusive growth and equitable development,8,Essential Indicators,5,Job creation in smaller towns: wages paid by location as % of total wage cost,table,"Provide the percentage of total wage cost paid to employees/workers located in smaller towns (non-metro, tier 2/3 cities) as a proportion of total wage cost.",
section_c,Principle 8: Businesses should promote inclusive growth and equitable development,8,Leadership Indicators,1,Actions taken to mitigate negative social impacts identified in Social Impact Assessments,table,Describe actions taken to mitigate negative social impacts identified in Social Impact Assessments conducted for projects.,
section_c,Principle 8: Businesses should promote inclusive growth and equitable development,8,Leadership Indicators,2,CSR projects undertaken in designated aspirational districts identified by government bodies,table,"List CSR projects undertaken in aspirational districts designated by government bodies, including project details, beneficiaries, and outcomes.",
section_c,Principle 8: Businesses should promote inclusive growth and equitable development,8,Leadership Indicators,3a,Does the entity have a preferential procurement policy for marginalized/vulnerable group suppliers?,radio,Select 'Yes' if the entity has a preferential procurement policy for suppliers from marginalized/vulnerable groups. Otherwise select 'No'.,"Yes|No"
section_c,Principle 8: Businesses should promote inclusive growth and equitable development,8,Leadership Indicators,3b,From which marginalized/vulnerable groups does the entity procure?,textarea,"List the marginalized/vulnerable groups (e.g., SC/ST, women-owned enterprises, PWD-owned) from which the entity procures goods/services.",
section_c,Principle 8: Businesses should promote inclusive growth and equitable development,8,Leadership Indicators,3c,What percentage of total procurement (by value) does this constitute?,number,Enter the percentage of total procurement (by value) that comes from marginalized/vulnerable group suppliers as per the preferential procurement policy.,
section_c,Principle 8: Businesses should promote inclusive growth and equitable development,8,Leadership Indicators,4,"Details of benefits derived and shared from intellectual properties owned/acquired, based on traditional knowledge",table,"Provide details of intellectual properties owned/acquired by the entity that are based on traditional knowledge, and the benefits shared with communities.",
section_c,Principle 8: Businesses should promote inclusive growth and equitable development,8,Leadership Indicators,5,Corrective actions taken on adverse orders in IP disputes involving traditional knowledge,table,Provide details of corrective actions taken in response to adverse orders in intellectual property disputes involving traditional knowledge.,
section_c,Principle 8: Businesses should promote inclusive growth and equitable development,8,Leadership Indicators,6,Details of beneficiaries of CSR Projects,table,"Provide details of beneficiaries of CSR projects, including number of beneficiaries, categories (direct/indirect), and demographics.",
section_c,Principle 9: Businesses should engage with and provide value to their consumers in a responsible manner,9,Essential Indicators,1,Mechanisms in place to receive and respond to consumer complaints and feedback,textarea,"Describe the mechanisms in place for consumers to report complaints, provide feedback, and how the entity responds to them.",
section_c,Principle 9: Businesses should engage with and provide value to their consumers in a responsible manner,9,Essential Indicators,2,"Turnover of products/services as % of turnover carrying info on environmental/social parameters, safe usage, recycling/disposal",table,"Provide the percentage of turnover from products/services that carry information on environmental/social parameters, safe usage, and recycling/disposal instructions.",
section_c,Principle 9: Businesses should engage with and provide value to their consumers in a responsible manner,9,Essential Indicators,3,"Number of consumer complaints (data privacy, advertising, cyber-security, delivery of essential services, restrictive/unfair trade practices, other)",table,"Provide the number of consumer complaints received during the year categorized by type: data privacy, advertising, cyber-security, delivery of essential services, restrictive/unfair trade practices, and others.",
section_c,Principle 9: Businesses should engage with and provide value to their consumers in a responsible manner,9,Essential Indicators,4,Details of instances of product recalls on account of safety issues (voluntary and forced),table,"Provide details of product recalls due to safety issues, including voluntary and forced recalls, number of units recalled, reasons, and corrective actions.",
section_c,Principle 9: Businesses should engage with and provide value to their consumers in a responsible manner,9,Essential Indicators,5,Does the entity have a framework/policy on cyber security and risks related to data privacy?,textarea,State whether the entity has a cyber security framework and data privacy policy. Describe the key elements and compliance mechanisms.,
section_c,Principle 9: Businesses should engage with and provide value to their consumers in a responsible manner,9,Essential Indicators,6,"Corrective actions taken on issues relating to advertising, delivery of essential services, cyber security, data privacy, product recalls",textarea,"Describe corrective actions taken on issues related to advertising, delivery of essential services, cyber security, data privacy breaches, and product recalls.",
section_c,Principle 9: Businesses should engage with and provide value to their consumers in a responsible manner,9,Essential Indicators,7,"Details relating to data breaches (number, % involving PII, impact)",table,"Provide details of data breaches during the year, including number of breaches, percentage involving Personally Identifiable Information (PII), and impact.",
section_c,Principle 9: Businesses should engage with and provide value to their consumers in a responsible manner,9,Leadership Indicators,1,Channels/platforms where information on products and services of the entity can be accessed,textarea,"List the channels and platforms (e.g., websites, apps, helplines, manuals) where consumers can access information about the entity's products/services.",
section_c,Principle 9: Businesses should engage with and provide value to their consumers in a responsible manner,9,Leadership Indicators,2,Steps taken to inform and educate consumers about safe and responsible usage of products/services,textarea,"Describe the steps taken by the entity to inform and educate consumers about safe, responsible, and sustainable usage of its products/services.",
section_c,Principle 9: Businesses should engage with and provide value to their consumers in a responsible manner,9,Leadership Indicators,3,Mechanisms in place to inform consumers of any risk of disruption/discontinuation of essential services,textarea,Describe the mechanisms and communication channels used to inform consumers about any risks of disruption or discontinuation of essential services.,
section_c,Principle 9: Businesses should engage with and provide value to their consumers in a responsible manner,9,Leadership Indicators,4,Does the entity display product information over and above what is mandated; consumer satisfaction survey?,textarea,State whether the entity provides additional product information beyond regulatory mandates. Also describe consumer satisfaction surveys conducted and their findings.,
section_c,Principle 9: Businesses should engage with and provide value to their consumers in a responsible manner,9,Leadership Indicators,5,"Details relating to data breaches, including impact",table,"Provide comprehensive details of data breaches, including the number of affected individuals, nature of data breached, financial impact, and remedial measures taken.",
,,,,,,,,